Date & Time,Solve Time
M 14 2015 02:54:22 PM,00:33.53
M 14 2015 02:53:21 PM,00:35.54
M 14 2015 02:52:05 PM,00:40.27
M 14 2015 02:51:05 PM,00:30.95
M 14 2015 02:50:07 PM,00:35.13
M 14 2015 02:49:10 PM,00:32.41
M 14 2015 02:48:09 PM,00:35.48
M 14 2015 02:47:05 PM,00:32.06
M 14 2015 02:45:49 PM,00:46.67
M 14 2015 02:44:38 PM,00:31.55
M 14 2015 02:43:33 PM,00:40.91
M 14 2015 02:42:25 PM,00:37.06
M 14 2015 02:41:20 PM,00:36.64
M 14 2015 02:40:06 PM,00:41.31
M 14 2015 02:38:49 PM,00:36.13
M 14 2015 02:37:51 PM,00:32.22
M 14 2015 02:36:45 PM,00:38.79
M 14 2015 02:35:44 PM,00:27.03
M 14 2015 02:34:39 PM,00:35.29
M 14 2015 02:33:29 PM,00:34.61
M 14 2015 02:28:34 PM,00:32.34
M 14 2015 02:25:32 PM,00:31.21
M 14 2015 02:24:34 PM,00:30.72
M 14 2015 02:23:33 PM,00:30.00
M 14 2015 02:22:18 PM,00:41.80
M 14 2015 02:20:49 PM,00:43.48
M 14 2015 02:19:24 PM,00:43.81
M 14 2015 02:12:28 PM,00:34.97
M 14 2015 02:11:11 PM,00:35.04
M 14 2015 02:07:29 PM,00:35.62
M 14 2015 02:05:29 PM,00:26.52
M 14 2015 02:04:11 PM,00:30.28
M 14 2015 02:03:06 PM,00:37.90
M 14 2015 02:01:17 PM,00:50.12
M 14 2015 01:58:02 PM,00:34.94
M 14 2015 01:56:11 PM,00:38.63
M 14 2015 01:54:41 PM,00:34.25
M 14 2015 01:53:14 PM,00:46.28
M 14 2015 01:52:17 PM,00:31.90
M 14 2015 01:50:44 PM,00:44.63
M 14 2015 01:48:31 PM,00:35.30
M 14 2015 01:47:14 PM,00:34.02
M 14 2015 01:46:05 PM,00:35.59
M 14 2015 01:44:55 PM,00:36.94
M 14 2015 01:43:41 PM,00:35.73
M 14 2015 01:42:27 PM,00:37.20
M 14 2015 01:41:16 PM,00:36.43
M 14 2015 01:39:54 PM,00:44.02
M 14 2015 01:29:04 PM,00:25.58
M 14 2015 01:28:02 PM,00:32.22
M 14 2015 01:26:59 PM,00:27.52
M 14 2015 01:25:41 PM,00:40.47
M 14 2015 01:23:59 PM,00:38.77
M 14 2015 01:21:21 PM,00:36.51
M 14 2015 01:20:01 PM,00:35.22
M 14 2015 12:01:04 PM,00:36.76
M 14 2015 11:59:29 AM,00:31.22
M 14 2015 11:58:02 AM,00:45.70
M 14 2015 11:56:43 AM,00:37.74
M 14 2015 11:55:37 AM,00:38.59
M 14 2015 11:54:32 AM,00:32.46
M 14 2015 11:53:18 AM,00:32.37
M 14 2015 11:51:05 AM,00:28.08
M 14 2015 11:49:51 AM,00:46.20
M 14 2015 11:48:25 AM,00:43.29
M 14 2015 11:47:20 AM,00:30.01
M 14 2015 11:46:17 AM,00:32.61
M 13 2015 04:17:12 PM,00:29.32
M 13 2015 04:16:12 PM,00:35.04
M 13 2015 04:15:07 PM,00:36.91
M 13 2015 04:13:44 PM,00:36.14
M 13 2015 04:11:59 PM,00:39.64
M 13 2015 04:10:44 PM,00:39.85
M 13 2015 04:09:05 PM,00:30.67
M 13 2015 04:07:59 PM,00:37.00
M 13 2015 04:06:50 PM,00:35.14
M 13 2015 04:05:45 PM,00:38.25
M 13 2015 04:04:16 PM,00:38.46
M 13 2015 04:03:09 PM,00:39.79
M 13 2015 04:01:22 PM,00:41.81
M 13 2015 03:59:58 PM,00:41.67
M 13 2015 03:58:48 PM,00:39.39
M 13 2015 03:57:37 PM,00:35.17
M 13 2015 03:56:18 PM,00:38.76
M 13 2015 03:55:09 PM,00:37.96
M 13 2015 03:53:54 PM,00:44.26
M 13 2015 03:52:48 PM,00:40.11
M 13 2015 03:51:47 PM,00:32.46
M 13 2015 02:02:58 PM,00:34.40
M 13 2015 02:01:51 PM,00:32.73
M 13 2015 01:59:26 PM,00:37.68
M 13 2015 01:57:41 PM,00:54.31
M 13 2015 01:56:38 PM,00:32.78
M 13 2015 01:55:31 PM,00:31.49
M 13 2015 01:54:22 PM,00:35.96
M 08 2015 02:54:21 PM,00:28.63
M 08 2015 02:53:18 PM,00:28.98
M 08 2015 02:52:22 PM,00:30.99
M 08 2015 02:50:48 PM,00:33.52
M 08 2015 02:49:46 PM,00:25.66
M 08 2015 02:48:31 PM,00:39.99
M 08 2015 02:47:15 PM,00:39.86
M 08 2015 02:45:40 PM,00:48.05
M 08 2015 02:44:31 PM,00:35.82
M 08 2015 02:42:58 PM,00:42.13
M 08 2015 02:41:44 PM,00:36.95
M 08 2015 02:40:04 PM,00:31.53
M 08 2015 02:38:45 PM,00:34.61
M 08 2015 02:37:40 PM,00:36.57
M 08 2015 02:36:26 PM,00:31.08
M 08 2015 02:35:05 PM,00:46.48
M 08 2015 02:33:51 PM,00:34.67
M 08 2015 02:32:31 PM,00:43.98
M 08 2015 02:30:58 PM,00:31.76
M 08 2015 02:29:49 PM,00:31.37
M 08 2015 02:28:40 PM,00:30.39
M 08 2015 02:21:27 PM,00:43.20
M 08 2015 02:20:18 PM,00:34.02
M 08 2015 02:18:52 PM,00:52.69
M 08 2015 02:17:41 PM,00:35.25
M 08 2015 02:16:24 PM,00:46.63
M 08 2015 02:15:20 PM,00:33.77
M 08 2015 02:13:47 PM,00:39.01
M 08 2015 02:11:26 PM,00:24.64
M 08 2015 02:10:21 PM,00:32.57
M 08 2015 02:09:04 PM,00:45.65
M 08 2015 02:07:56 PM,00:34.49
M 08 2015 02:06:25 PM,00:49.46
M 08 2015 02:05:18 PM,00:36.97
M 08 2015 01:44:01 PM,00:32.09
M 08 2015 01:42:59 PM,00:31.33
M 08 2015 01:41:43 PM,00:41.63
M 08 2015 01:40:30 PM,00:36.08
M 08 2015 01:39:08 PM,00:39.73
M 08 2015 01:38:03 PM,00:31.69
M 08 2015 01:36:56 PM,00:34.83
M 08 2015 01:35:43 PM,00:26.74
M 08 2015 01:34:32 PM,00:33.38
M 08 2015 01:33:19 PM,00:39.52
M 08 2015 01:32:19 PM,00:26.54
M 08 2015 01:30:40 PM,00:31.83
M 08 2015 01:29:19 PM,00:45.05
M 08 2015 01:28:05 PM,00:37.45
M 08 2015 01:26:20 PM,00:40.76
F 27 2015 04:47:21 PM,00:36.82
F 27 2015 04:46:17 PM,00:32.37
F 27 2015 04:45:04 PM,00:26.45
F 27 2015 04:43:48 PM,00:40.02
F 27 2015 04:42:32 PM,00:40.66
F 27 2015 04:41:17 PM,00:29.77
F 27 2015 04:39:55 PM,00:34.45
F 27 2015 04:38:25 PM,00:45.95
F 27 2015 04:37:20 PM,00:32.81
F 27 2015 04:35:49 PM,00:44.67
F 27 2015 04:34:25 PM,00:45.82
F 27 2015 04:32:55 PM,00:37.83
F 27 2015 04:31:00 PM,00:57.68
F 27 2015 04:29:32 PM,00:37.08
F 27 2015 04:27:40 PM,00:37.08
F 27 2015 04:26:04 PM,00:43.53
F 27 2015 04:24:33 PM,00:33.74
F 27 2015 04:23:23 PM,00:29.49
F 27 2015 12:11:14 PM,00:36.27
F 27 2015 12:09:45 PM,00:47.59
F 27 2015 12:08:24 PM,00:30.72
F 27 2015 12:06:56 PM,00:33.89
F 27 2015 12:05:37 PM,00:35.27
F 27 2015 12:04:28 PM,00:35.46
F 27 2015 12:03:20 PM,00:34.60
F 27 2015 12:02:12 PM,00:29.62
F 17 2015 08:00:21 AM,00:35.39
F 17 2015 07:58:21 AM,01:01.77
F 17 2015 07:53:37 AM,00:38.90
F 15 2015 01:53:03 PM,00:42.62
F 15 2015 01:51:48 PM,00:34.71
F 15 2015 01:50:26 PM,00:50.92
F 15 2015 01:48:32 PM,00:35.91
F 15 2015 01:47:12 PM,00:32.97
F 15 2015 01:45:54 PM,00:42.63
F 15 2015 01:44:37 PM,00:37.26
F 15 2015 01:43:27 PM,00:33.62
F 15 2015 01:42:03 PM,00:45.11
F 15 2015 01:40:49 PM,00:32.17
F 08 2015 07:50:05 PM,00:45.05
F 08 2015 07:48:59 PM,00:38.28
F 08 2015 07:47:39 PM,00:38.86
F 08 2015 07:46:23 PM,00:48.21
F 08 2015 07:44:56 PM,00:40.83
F 08 2015 07:43:24 PM,00:46.89
F 08 2015 07:42:07 PM,00:38.07
F 08 2015 07:40:58 PM,00:35.98
F 08 2015 07:36:48 PM,00:49.32
F 08 2015 07:35:38 PM,00:36.23
F 08 2015 07:34:27 PM,00:27.43
F 08 2015 07:33:10 PM,00:43.59
F 08 2015 07:31:48 PM,00:38.70
F 08 2015 03:32:28 PM,00:42.64
F 08 2015 03:31:14 PM,00:36.56
F 08 2015 03:30:07 PM,00:28.64
F 08 2015 03:28:56 PM,00:34.02
F 08 2015 11:57:35 AM,00:41.05
F 08 2015 11:56:10 AM,00:38.80
F 08 2015 11:55:05 AM,00:32.39
F 08 2015 11:53:07 AM,00:51.54
F 08 2015 11:51:51 AM,00:38.87
F 08 2015 11:50:41 AM,00:33.31
F 08 2015 11:48:46 AM,00:35.94
F 08 2015 11:47:06 AM,01:01.22
F 08 2015 11:45:51 AM,00:40.42
F 08 2015 11:44:25 AM,00:48.47
F 08 2015 11:43:11 AM,00:37.37
F 08 2015 11:41:52 AM,00:31.41
F 08 2015 11:39:54 AM,00:39.66
F 08 2015 11:38:36 AM,00:37.37
F 08 2015 11:29:41 AM,00:32.24
F 08 2015 11:28:29 AM,00:27.49
F 08 2015 10:58:30 AM,00:29.91
F 08 2015 10:57:04 AM,00:47.24
F 08 2015 10:49:15 AM,00:35.66
F 08 2015 10:47:43 AM,00:45.06
F 08 2015 10:43:06 AM,00:37.58
F 08 2015 10:41:35 AM,00:31.38
F 08 2015 10:39:57 AM,00:36.39
F 08 2015 10:38:18 AM,00:48.55
F 08 2015 10:36:34 AM,00:48.10
F 08 2015 10:33:27 AM,00:27.70
F 08 2015 10:32:08 AM,00:36.24
F 08 2015 10:30:43 AM,00:45.91
F 08 2015 10:28:21 AM,00:38.78
F 08 2015 10:26:44 AM,00:29.27
F 08 2015 10:25:24 AM,00:39.47
F 08 2015 10:21:39 AM,00:34.25
F 08 2015 10:20:17 AM,00:35.80
F 08 2015 10:18:42 AM,00:49.15
F 08 2015 10:17:11 AM,00:33.71
